NOME,Tipo de Abrangência,DESCRIÇÃO,Status,LIMITE PARA ENVIO,MÁX. POR PROJ.,Origem do Recurso,LINK EDITAL
ABDI,Nacional,-,Aberta,05/01/2024,330000,Mercado Interno,www.prosas.com.br
Açolab Long - Arcelor Mittal,Nacional,"A estratégia do fundo é identificar startups que tenham solução validada e que desenvolvam novos negócios, produtos e serviços ou incorporem novas tecnologias para aumentar a competitividade e enriquecer a proposta de valor da cadeia da ArcelorMittal. O Açolab Ventures vai adquirir uma participação minoritária em empresas inovadoras com elevado potencial de crescimento.",Fluxo Contínuo,-,,Mercado Interno,http://acolabam-com-br-1.rds.land/smartventures
Agência Nacional de Águas - ANA,Nacional,"Concessão de patrocínio e de apoio institucional pela ANA, nas modalidades de seleção pública e escolha direta, a eventos e projetos que estejam alinhados ao planejamento estratégico institucional e ao plano de comunicação.
Serão priorizadas as propostas de patrocínio de eventos e projetos de tema técnico-científico, socioambiental, cultural ou educativo.",Fluxo Contínuo,-,,Mercado Interno,https://www.gov.br/ana/pt-br/acesso-a-informacao/acoes-e-programas/patrocinio
Amazon Web Services (AWS),Nacional,"Capacitar startups de Fintech orientadas por IA para o sucesso global com suporte a produtos, negócios e investimentos.",Aberta,14/08/2023,824880,Mercado Externo,https://www.vestbee.com/aws-global-fintech-accelerator
AMBEV,Nacional,"Viabilizar oportunidades de inovação por meio de interação com startups que atuem nas seguintes áreas: Industria 4.0, Novos produtos, Experiência do Consumidor, Crescimento de Vendas, Cadeia de Suprimentos, Bem-estar da Nossa Gente, Sustentabilidade e Meio Ambiente, Negócios Sociais",Fluxo Contínuo,-,,Mercado Interno,https://portal.pipefy.com/243d48ab-7c15-4b89-9d45-d9f37f817a1e
APERAM,Estadual,"Projetos
aprovados em leis estaduais e federais com foco na promoção do
desenvolvimento das pessoas e da sociedade, nas seguintes áreas:
Educação, Cultura, Meio Ambiente e Promoção Social",Fluxo Contínuo,-,,Mercado Interno,https://brasil.aperam.com/sustentabilidade/fundacao-aperam-acesita/solicitacao-de-patrocinio-e-doacao/
Associação Nossa Cidade,Municipal,"Viabilizar ações para regeneração de Brumadinho e Paraopeba, com projetos nas áreas de tecnologias sociais, agrofloresta, permacultura, tecnologias verdes.",Fluxo Contínuo,-,25000,Mercado Interno,https://www.awesomefoundation.org/pt/chapters/brumadinho
Banco de Brasília S/A - BRB,Estadual,"Patrocinar projetos nas áreas de arte e cultura, de causas sociais, de comunidade, de entretenimento, de esporte, de meio ambiente e de negócios.",Fluxo Contínuo,-,,Mercado Interno,https://novo.brb.com.br/sobre-o-brb/patrocinios/
Banco do Estado do Espírito Santo - Banestes,Estadual,"Apoiar projetos e eventos ligados à cultura, esporte e responsabilidade socioambiental.",Fluxo Contínuo,-,,Mercado Interno,https://www.banestes.com.br/institucional/apoios_patrocinios.html
BASF,Nacional,"Com o objetivo de acelerar ideias e promover soluções digitais para o campo agronômico, o Programa AgroStart apoia startups nacionais e internacionais em diferentes estágios: 1) Semeadura: estágio inicial; 2) Maturação: estágio maduro; 3) Garagem: integrantes BASF ou pessoas engajadas na área agro com ideias inovadoras; 4) Ecossistema: para empresas.",Fluxo Contínuo,-,150000,Mercado Interno,https://agrostart.basf.com/
